Checkpoint #,Name,Uploaded At,Elo Rating,Network File,Raw TF Weights,Raw Elo,Raw Network URL,Raw TF URL
21,kata1-b6c96-s21371392-d3529696,2020-11-28 20:30:31 UTC,"4456.4 ± 22.0 - (1,757 games)",[Download],[Download],4456.4,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s21371392-d3529696.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s21371392-d3529696.zip
20,kata1-b6c96-s20302336-d3388395,2020-11-28 20:30:28 UTC,"4280.4 ± 22.0 - (1,757 games)",[Download],[Download],4280.4,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s20302336-d3388395.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s20302336-d3388395.zip
19,kata1-b6c96-s19408128-d3280178,2020-11-28 20:30:24 UTC,"4181.6 ± 22.0 - (1,751 games)",[Download],[Download],4181.6,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s19408128-d3280178.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s19408128-d3280178.zip
18,kata1-b6c96-s18429184-d3197121,2020-11-28 20:30:21 UTC,"3960.5 ± 21.9 - (2,205 games)",[Download],[Download],3960.5,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s18429184-d3197121.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s18429184-d3197121.zip
17,kata1-b6c96-s17434112-d3038653,2020-11-28 20:30:17 UTC,"3703.1 ± 22.0 - (2,128 games)",[Download],[Download],3703.1,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s17434112-d3038653.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s17434112-d3038653.zip
16,kata1-b6c96-s16525312-d2925067,2020-11-28 20:30:14 UTC,"3486.7 ± 21.9 - (1,879 games)",[Download],[Download],3486.7,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s16525312-d2925067.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s16525312-d2925067.zip
15,kata1-b6c96-s15704832-d2832803,2020-11-28 20:30:10 UTC,"3330.8 ± 22.0 - (1,962 games)",[Download],[Download],3330.8,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s15704832-d2832803.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s15704832-d2832803.zip
14,kata1-b6c96-s14649344-d2727367,2020-11-28 20:30:07 UTC,"3113.2 ± 22.0 - (1,948 games)",[Download],[Download],3113.2,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s14649344-d2727367.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s14649344-d2727367.zip
13,kata1-b6c96-s13733120-d2631546,2020-11-28 20:30:03 UTC,"2861.5 ± 22.0 - (2,483 games)",[Download],[Download],2861.5,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s13733120-d2631546.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s13733120-d2631546.zip
12,kata1-b6c96-s12849664-d2510774,2020-11-28 20:30:00 UTC,"2549.2 ± 22.0 - (1,878 games)",[Download],[Download],2549.2,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s12849664-d2510774.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s12849664-d2510774.zip
11,kata1-b6c96-s11888896-d2416753,2020-11-28 20:29:56 UTC,"2400.2 ± 21.5 - (1,704 games)",[Download],[Download],2400.2,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b6c96-s11888896-d2416753.txt.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b6c96-s11888896-d2416753.zip
